Age,Average Age,Min Age,Ma Age,Total N,Ages reported in groups/not in groups,or take bottom value/upper value of the total
38-41 weeks in gestation,,,,,,
X,,,,,,
X,,,,,,
Includes age ,,,,,,
> 18 years old,,18,,14,,
,,,,,,
Class A: 50 (mean); 29-63 (range)              Class B: 46 (mean); 39-53 (range)            Class C: 33 (mean); 27-42,,29,63,32,,
Eperiment 1: 19-34 (range)           Eperiment 2: 19-33 (range,,19,34,,,
X,,,,,,
32.5 ± 14.7,32.5,,,1403,,
 (college  students were studied),,,,,,
X,,,,,,
Men (22-71)       Women (54-63),,22,71,15,,
-Median Age: 64.81               -Age Range: 19-90+,64.81,19,90,53,,
-35 - 65,,35,65,16,,
18-35,,18,35,28,,
-Mean age: 43 years (first batch)             -Mean age: 52 years (second batch),,,,491,,
"21 to 83 years; 41 years, median 37 years",41,21,83,15,,
X,,,,,,
21-61 age range,,21,61,,,
14-82 (age range); 45.2 (average),45.2,14,82,108,,
15.2 ± 2 year-old,15.2,,,18,,
50-85,,50,85,89,,
X,,,,,,
3-22 (male); 1.5-19 (female),,1.5,22,22,,
31.7 ± 8.7 years,31.7,,,60,,
54.376 years,54.376,,,1776,,
24.7 years ± 3.9 years,24.7,,,17,,
26.4±4.52 years,26.4,,,10,,
34-79,,34,79,31,,
"Patients were in ""mid-twenties""",,,,,,
19-58 ,,19,58,30,,
29.8 (18-46),29.8,18,46,552,,
X,,,,,,
X,,,,,,
X,,,,,,
13-75,,13,75,90,,
18.25,18.25,,,36,,
X,,,,109,,
24.3 ± 3.7 (range of 19-33),24.3,19,33,11,,
27.6±3.7 ,27.6,,,10,,
Patients with high amplitude tremor: 58.5 ±  9.8;     Patients with low amplitude tremor: 52.8 ± 10.2,,,,16,,
"not specified in this PhysioNet  dataset; however, in original publication, 80 subjects aged between 18 and 40 years participated in the study",,18,40,,,
between 23 and 29 (average: 25.4 ± 1.9 years) ,25.4,23,29,24,,
X,,,,,,
Men: 30-84;      Women: 55-71 (not including missing subject),,30,84,79,,
40-85,,,85,8,,
19-31 (stated in publication but not on PhysioNet),,19,31,8,,
Average: 54.3 (44-62),65.3,44,62,3,,
"20 - 23yrs: n = 10
23 - 25yrs: n = 9
26 - 30yrs: n = 21
30 - 35yrs: n = 11
35 - 45yrs: n = 12 (Mean age was 28 for all groups)",28,,,63,,
Twenty young (21 - 34 years old) patients; twenty elderly (68 - 85 years old) stated on PhysioNet,,,,20,,
X,,,,10,,
25-35,,25,35,26,,
"Three groups: 5 healthy young adults (23 - 29 years old), 5 healthy old adults (71 - 77 years old), and 5 older adults (60 - 77 years old)",,,,,,
Control age range: 20-95;       Huntington's Disease age range: 45-102;                Parkinson's Disease: 43-100;           ALS age range: 36-70,,,,64,,
idiopathic Parkinson's Disease Group (mean age: 66.3 years);       Healthy group (mean age: 66.3 years),,,,166,,
40 months-163 months,,3.333333333,13.58333333,50,,
24-35,,24,35,43,,
53.9 ± 15.4,54.9,,,151,,
"Group 1: 20–35, mean 29; Group 2: 20–35, mean 25; Group 3: 21–55, mean 39",,,,34,,
Reported in data,,,,,,
X,,,,45,,
mean 62.2±17.4,62.2,,,,,
18-27 years of age with gestation weeks 30-40,,18,27,60,,
mean 27.1 +/-3.2 years,27.1,,,,,
Teachers: not all reported; students 15.95,,,,29,,
nested jsons,,,,,,
Healthy: 36.7 ± 16.8; motor dysfunction 60.44 ± 14.2,,,,90,,
52 mean,52,,,200,,
PAF  67 ± 11; sustained AF 66 ± 12 ,,,,44,,
X,,,,,,
mean age = 78.36 ± 4.71 years; range = 65-87,78.36,65,87,71,,
mean 21.7 years (range: 18-29 years),21.7,18,29,19,,
not reported in physionet or paper,,,,,,
24-39,,24,39,11,,
mean 31±5.94 years,31,,,14,,
N,,,,,,
26.6 mean,26.6,,,113,,
mean 24.7,24.7,,,108,,
recorded in html,,,,,,
X,,,,100,,
X,,,,,,
X,,,,,,
X,,,,,,
reported in JSON,,,,,,
X,,,,,,
X,,,,,,
X,,,,100,,
X,,,,,,
X,,,,,,
"mean 64.5, 1 age not recorded",,,,12,,
X,,,,,,
X,,,,,,
X,,,,,,
