Study Name/Number,Race,Race Present,Ethnicity,Ethnicity Present,Study sample size,Gender/Sex,Sex Present,Male,Female,Unknown / Not Reported,Total N,Age,Age Present,Average/Median Age (years),Min Age (years),Max Age (years),Country/Region,Location ,Pre-existing conditions and/or Symptoms,Instruments used,Socioeconomic Status,Data Collected (differnent levels of),Date Study was Conducted/Published,Date Study Posted on PhysioNet,Field
"Abdominal and Direct Fetal ECG Database: Multichannel fetal electrocardiogram recordings obtained from 5 different women in labor, between 38 and 41 weeks of gestation.",X,0,X,0,5 women in labor were analyzed,Unknown (collected from fetal heartbeats of pregnant women),0,X,X,,5,38-41 weeks in gestation,1,X,0.69,0.79,Poland,"Department of Obstetrics at the Medical University of Silesia (Katowice, Poland)",Women in labor,"KOMPOREL System (ITAM Institute, Zabrze, Poland). Each recording comprises 4 different signals acquired from ",X,,,,cardiac_electrophysiology
"AF Termination Challenge Database: ECG recordings created for the Computers in Cardiology Challenge 2004, which focused on predicting spontaneous termination of atrial fibrillation.",X,0,X,0,Three groups in Learning Set: 1.  Group N (non-terminating Atrial Fibrillation); 2. Group S (AF that terminates 1 minute after end of record); 3.  Group T (AF that terminates immediately (within 1 second) after end of record,X,0,X,X,,X,X,0,X,X,X,USA,X,X,Not listed; two ECG signals used,X,,,,cardiac_electrophysiology
AHA Database Sample Excluded Record: Two ECG signals that were excluded from the 1980 American Heart Association database.,X,0,X,0,80 recordings (10 for each existing condition) for development set; 75 recordings for test set,X,0,X,X,,X,X,0,X,X,X,USA,Washington University (St. Louis),"No ventricular ectopy, isolated unifocal PVCs, isolated multifocal PVCs, ventricular bi- and trigeminy, R-on-T PVCs, ventricular couplets, ventricular tachycardia, ventricular flutter/fibrillation",Not listed; two ECG signals used,X,,,,cardoac_electrophysiology
"A large scale 12-lead electrocardiogram database for arrhythmia study: A 12-lead electrocardiogram database for arrhythmia research covering more than 10,000 patients",X,0,X,0,"45, 152 patients",Male and Female,1,X,X,,45152,Includes age ,1,X,X,X,China,"Chapman University, Shaoxing People's Hospital (Shaoxing Hospital Zhejiang University School of Medicine), and Ningbo First Hospital",Includes information about pre-existing conditions or symptoms,GE MUSE ECG System,X,,,,cardiac_electrophysiology
A multi-camera and multimodal dataset for posture and gait analysis: Multimodal dataset with 166k samples for vision-based applications with a smart walker used in gait and posture rehabilitation. It is equipped with a pair of Depth cameras with data synchronized with an inertial MoCap system worn by the participant.,X,0,X,0,14,10 males; 4 females,1,10,4,,14,25.4,1,25.4,18,30,Portugal,Portugal (University of Minho),No clinical history of any abnormalities,MVN BIOMECH,X,"walking straight in a corridor, turning right in a corner, turning left in a corner at speeds of 0.3, 0.5, and 0.7 m/s",,,gait/balance/motion
ANSI/AAMI EC13 Test Waveforms: The files in this set can be used for testing a variety of devices that monitor the electrocardiogram. The recordings include both synthetic and real waveforms.,X,0,X,0,Not explicitly mentioned,X,0,X,X,,X,X,0,X,X,X,X,X,X,not listed; includes both synthetic and real waveforms,X,Collection of ECG Recordings,,,cardiac_electrophysiology
Apnea-ECG Database: Seventy ECG signals with expert-labelled apnea annotations and machine-generated QRS annotations.,X,0,X,0,70 nightime ECG recordings and 31 subjects incorporated from 2 studies,"Group A (individuals with apnea): 15 male & 1 female       Group B (""borderline apnea""): 4 male & 1 female      Group C (""normal""): 6 Male & 4 female",1,25,7,,31,Class A: 50 (mean); 29-63 (range)              Class B: 46 (mean); 39-53 (range)            Class C: 33 (mean); 27-42            Average Age of Subjects Across all Classes: 43.87,1,43.87,27,63,USA,X,X,X,X,"Each recording includes a continuous digitized ECG signal, a set of apnea annotations and a set of machine-generated QRS annotations (in which all beats regardless of type have been labeled normal).",,,cardiac_electrophysiology
A Pressure Map Dataset for In-bed Posture Classification: Pressure sensor data captured from 13 participants in various sleeping postures.,X,0,X,0,Experiment 1: 13 participants               Experiment 2: 8 participants                                       Total # of Subjects Enrolled Altogether: 13,X,0,X,X,,13,Experiment 1: 19-34 (range)           Experiment 2: 19-33 (range,1,26.9,19,34,USA,Texas (University of Texas at Dallas)  ,X,Experiment 1: Vista Medical FSA SoftFlex 2048               Experiment 2: Vista Medical BodiTrak BT3510,X,in-bed posture pressure data,,,other
Auditory evoked potential EEG-Biometric dataset: Recording of electroencephalogram (EEG) signals with the aim to develop an EEG-based Biometric. The Data includes resting-state and auditory stimuli experiments.,X,0,X,0,240 two-minute EEG recordings obtained from 20 volunteers,"17 males, 3 females",1,X,X,,20,Reported,1,26,21,31,Italy,Italy (Marche Polytechnic University (UNIVPM)),X,"OpenBCI Ganglion Board, 200 Hz sampling rate, four channels: T7, F8, Cz, and P4.",X,resting state EEG signals (in patients with eyes open and eyes closed),,,neuroelectric
"Autonomic Aging: A dataset to quantify changes of cardiovascular autonomic function during healthy aging: This database contains resting recordings of ECG and continuous noninvasive blood pressure of 1,104 healthy volunteers",X,0,X,0,"1, 121",Female (691)            Male (429),1,733,670,,1121,reported (in terms of age groups),1,X,18,92,Germany,Germany (Jena University Hospital),"-""healthy volunteers""",Group 1: TFM: CNSystems Task Force Monitor                     Group 2: BIOPAC MP150 with CNSystems CNAP 500,,ECG and non-invasive blood pressure signals,,,multi_parameter
